Time[s],sensor1[mm],sensor2[mm]
5.291454792022705,47,124
5.322764158248901,47,123
5.3540332317352295,47,123
5.385329723358154,46,123
5.416781187057495,45,123
5.4479100704193115,44,125
5.479357719421387,45,125
5.5105204582214355,47,125
5.541919231414795,47,124
5.573089838027954,45,122
5.6045005321502686,49,124
5.637283086776733,46,124
5.668698787689209,46,123
5.700087547302246,46,125
5.731311082839966,48,123
5.76249885559082,48,125
5.79383659362793,48,123
5.825206279754639,50,122
5.856411933898926,48,123
5.887763738632202,48,123
5.9189231395721436,50,124
5.950222969055176,48,124
5.981240510940552,49,124
6.0126073360443115,49,123
6.0437281131744385,49,125
6.074995756149292,47,125
6.106330394744873,49,126
6.13774299621582,50,126
6.1690309047698975,48,125
6.200364589691162,49,125
6.23141622543335,47,123
6.262734889984131,49,124
6.2940144538879395,47,124
6.3252623081207275,49,123
6.35676908493042,49,125
6.388105630874634,49,124
6.419605255126953,49,122
6.450965881347656,47,126
6.482103586196899,50,126
6.513238191604614,50,121
6.54441499710083,49,125
6.575783729553223,48,122
6.607016324996948,50,124
6.638216257095337,46,125
6.669822692871094,47,125
6.701173543930054,50,126
6.732278347015381,46,127
6.763436794281006,49,127
6.794506549835205,48,125
6.825958013534546,52,123
6.857116937637329,49,127
6.888439416885376,47,126
6.919781446456909,51,127
6.951215744018555,51,125
6.982732534408569,49,128
7.014044284820557,49,127
7.045269966125488,48,127
7.07673978805542,50,124
7.107951402664185,48,124
7.139419078826904,49,127
7.17067289352417,48,124
7.2020204067230225,49,123
7.2331249713897705,49,121
7.264191627502441,50,123
7.295339584350586,49,120
7.326981067657471,48,123
7.358478784561157,49,122
7.389791488647461,47,121
7.421211242675781,50,119
7.452664136886597,48,120
7.483724594116211,49,121
7.514777421951294,51,117
7.546176910400391,48,121
7.5775697231292725,50,121
7.6088972091674805,48,122
7.640344142913818,49,122
7.671487808227539,49,124
7.703136444091797,47,124
7.73447322845459,47,124
7.765553951263428,50,127
7.79714035987854,49,123
7.828625202178955,51,123
7.86007285118103,51,124
7.891444444656372,49,126
7.922875165939331,48,127
7.954283714294434,48,124
7.98569655418396,47,126
8.017052173614502,47,124
8.048391819000244,48,126
8.079647779464722,47,124
8.110880136489868,48,125
8.142130851745605,50,123
8.173529624938965,47,125
8.205008268356323,49,121
8.23633885383606,50,119
8.268105745315552,50,122
8.299461364746094,49,121
8.330456018447876,46,121
8.362037658691406,49,120
8.393250465393066,47,120
8.424426317214966,50,120
8.455857992172241,50,119
8.487468481063843,52,119
8.518538236618042,47,122
8.54993987083435,48,121
8.581212520599365,48,123
8.612577199935913,50,122
8.643681049346924,47,122
8.674755573272705,49,124
8.70636534690857,50,123
8.739522933959961,49,126
8.770275592803955,52,123
8.801397323608398,50,127
8.832881927490234,48,125
8.864218473434448,49,124
8.895363330841064,47,126
8.926926136016846,48,123
8.95851182937622,48,124
8.989532470703125,49,125
9.020693302154541,49,127
9.052091836929321,49,124
9.083374500274658,48,123
9.114456176757812,47,124
9.145893812179565,49,118
9.17704153060913,50,114
9.208300352096558,53,110
9.239536762237549,59,105
9.270527601242065,62,100
9.302011251449585,68,93
9.333218097686768,68,94
9.36449670791626,64,94
9.395483255386353,60,93
9.426826238632202,57,95
9.458345651626587,53,97
9.489388465881348,43,98
9.520340204238892,38,105
9.55165982246399,27,108
9.582708358764648,23,114
9.61404037475586,15,117
9.64524793624878,14,124
9.676350593566895,12,127
9.707611322402954,10,130
9.738906145095825,11,133
9.769730806350708,15,135
9.802849292755127,18,136
9.834364891052246,24,140
9.865690469741821,33,138
9.896979331970215,43,138
9.928157091140747,58,136
9.959451675415039,70,134
9.990604400634766,79,132
10.021754026412964,85,131
10.053040742874146,96,130
10.084531307220459,100,126
10.116032123565674,106,124
10.147414684295654,108,122
10.178693532943726,102,125
10.20995020866394,102,121
10.241215944290161,94,119
10.272225618362427,87,120
10.30357313156128,76,123
10.336437940597534,65,120
10.367705583572388,49,122
10.398783206939697,35,121
10.430150032043457,23,123
10.461341619491577,15,121
10.492873430252075,9,123
10.523997068405151,2,121
10.555393695831299,0,118
10.586785554885864,0,120
10.620573997497559,0,120
10.654472589492798,1,118
10.685945272445679,5,116
10.7170569896698,9,116
10.74870753288269,14,115
10.77980923652649,24,114
10.810566186904907,35,116
10.843976736068726,48,115
10.875198364257812,60,111
10.906322240829468,69,118
10.937705755233765,77,114
10.96894645690918,83,122
11.000334978103638,86,121
11.031307697296143,91,125
11.062718391418457,89,129
11.094139099121094,90,130
11.12572193145752,88,132
11.157025575637817,80,137
11.188523292541504,76,135
11.219643831253052,69,139
11.251784324645996,64,137
11.282865047454834,58,140
11.314109802246094,51,137
11.345776557922363,44,138
11.377110242843628,39,132
11.408414840698242,37,132
11.439595699310303,34,129
11.470580339431763,33,121
11.501958131790161,33,121
11.533731698989868,35,118
11.566408395767212,34,115
11.597862005233765,37,112
11.631387710571289,41,110
11.662753343582153,41,105
11.697037696838379,41,103
11.731208324432373,44,104
11.762531042098999,44,102
11.794619798660278,44,104
11.82567048072815,45,105
11.861509084701538,39,108
11.89476752281189,39,111
11.927117347717285,38,114
11.958428859710693,36,118
11.989647626876831,36,120
12.023720264434814,37,124
12.0552978515625,36,127
12.089497327804565,38,131
12.121349096298218,38,133
12.152893543243408,40,134
12.18517255783081,43,136
12.216269969940186,49,137
12.252580642700195,52,136
12.28395414352417,55,138
12.315937995910645,61,134
12.347078561782837,67,133
12.379059076309204,69,130
12.411026954650879,72,129
12.442167520523071,73,129
12.474263191223145,74,125
12.506222009658813,78,122
12.537286520004272,76,122
12.569225072860718,73,120
12.600378036499023,70,120
12.632149696350098,66,117
12.664843320846558,59,117
12.696187973022461,55,117
